n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
14,31,6,1,497,1,7,497,0
15,56,6,0,-403,1,7,-403,0
17,8,6,0,-453,1,7,-453,0
18,59,6,0,-447,1,7,-422,0
19,84,6,1,455,1,7,416,0
20,72,6,0,-409,1,7,-459,0
21,18,6,0,-412,1,7,-482,0
22,94,6,0,-473,1,7,-483,0
24,68,6,1,458,1,7,458,0
25,6,6,1,419,1,7,419,0
27,70,6,1,456,1,7,446,0
28,23,6,1,408,1,7,408,0
29,20,6,0,-479,1,7,-479,0
30,1,6,0,-460,1,7,-460,0
32,98,6,1,442,1,7,440,0
33,83,6,1,464,1,7,493,0
34,96,6,1,468,1,7,445,0
35,27,6,1,447,1,7,447,0
36,60,6,0,-422,1,7,-422,0
37,98,6,1,-424,1,7,443,0
38,76,6,0,497,1,7,-419,0
40,2,6,0,-492,1,7,-492,0
41,86,6,0,-486,1,7,-447,0
42,92,6,0,478,1,7,-496,0
43,15,6,0,450,1,7,-421,0
44,92,6,0,-433,1,7,-416,0
46,96,6,0,-404,1,7,-484,0
47,89,6,0,-491,1,7,-491,0
48,52,6,0,-499,1,7,-428,0
1,19,0,0,-407,0,8,-407,0
2,18,0,1,433,0,8,433,0
3,70,0,0,492,0,8,-459,0
4,52,0,1,485,0,8,485,0
5,66,0,1,-476,0,8,409,0
7,63,0,1,461,0,8,410,0
8,83,0,1,-486,0,8,448,0
9,8,0,1,497,0,8,497,0
11,96,0,1,-452,0,8,490,0
12,44,0,1,440,0,8,431,0
13,89,0,1,432,0,8,478,0
14,60,0,0,-411,0,8,-411,0
15,70,0,0,-453,0,8,-453,0
17,5,0,0,-473,0,8,-473,0
18,35,0,1,424,0,8,424,0
19,30,0,0,-456,0,8,-456,0
20,12,0,0,-451,0,8,-451,0
21,16,0,1,438,0,8,438,0
22,84,0,0,479,0,8,-492,0
24,73,0,1,-406,0,8,478,0
25,22,0,0,415,0,8,-406,0
27,43,0,0,-486,0,8,-486,0
28,18,0,0,-410,0,8,-410,0
29,40,0,0,-412,0,8,-412,0
30,41,0,0,447,0,8,-491,0
32,9,0,1,404,0,8,404,0
