n_trial,uncertainty,seek,mc_model,Instr
8,51,5,483,1
9,53,6,-436,1
11,67,6,-464,1
12,63,6,-411,1
13,32,5,421,1
14,44,6,-465,1
15,2,4,438,1
17,3,5,452,1
18,40,5,415,1
19,51,5,437,1
20,72,6,-478,1
21,27,5,407,1
22,87,6,438,1
24,99,6,462,1
25,73,5,-452,1
27,1,5,466,1
28,57,5,-425,1
29,48,5,-496,1
30,47,4,481,1
32,16,5,437,1
33,35,5,451,1
34,39,6,405,1
35,68,6,-484,1
36,3,5,444,1
37,48,5,440,1
38,65,5,485,1
40,76,5,-424,1
41,81,5,430,1
42,83,5,-492,1
43,10,6,-466,1
44,96,6,448,1
46,19,5,-495,1
47,8,6,465,1
48,22,5,455,1
