n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
37,70,6,0,-449,1,1,4,54b9acd9fdf99b34ce2578f9
38,89,6,1,443,1,1,4,54b9acd9fdf99b34ce2578f9
40,48,4,1,443,1,1,4,54b9acd9fdf99b34ce2578f9
41,46,4,1,445,1,1,4,54b9acd9fdf99b34ce2578f9
42,43,4,1,415,1,1,4,54b9acd9fdf99b34ce2578f9
43,19,4,0,-439,1,1,4,54b9acd9fdf99b34ce2578f9
44,26,4,0,-453,1,1,4,54b9acd9fdf99b34ce2578f9
46,81,6,0,-477,1,1,4,54b9acd9fdf99b34ce2578f9
47,97,6,1,457,1,1,4,54b9acd9fdf99b34ce2578f9
48,21,4,1,434,1,1,4,54b9acd9fdf99b34ce2578f9
1,31,6,1,433,0,1,4,558e734efdf99b3a5619b5d5
2,54,6,1,425,0,1,4,558e734efdf99b3a5619b5d5
3,17,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5
4,95,6,0,-479,0,1,4,558e734efdf99b3a5619b5d5
5,9,6,1,449,0,1,4,558e734efdf99b3a5619b5d5
7,66,6,0,-442,0,1,4,558e734efdf99b3a5619b5d5
8,40,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5
9,49,6,0,-420,0,1,4,558e734efdf99b3a5619b5d5
11,57,6,1,429,0,1,4,558e734efdf99b3a5619b5d5
12,98,6,0,-407,0,1,4,558e734efdf99b3a5619b5d5
13,53,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5
14,67,6,1,420,0,1,4,558e734efdf99b3a5619b5d5
15,81,6,0,-452,0,1,4,558e734efdf99b3a5619b5d5
17,55,6,1,468,0,1,4,558e734efdf99b3a5619b5d5
18,77,6,1,460,0,1,4,558e734efdf99b3a5619b5d5
19,39,6,0,-412,0,1,4,558e734efdf99b3a5619b5d5
20,46,6,0,-475,0,1,4,558e734efdf99b3a5619b5d5
21,8,6,0,-483,0,1,4,558e734efdf99b3a5619b5d5
22,51,6,1,413,0,1,4,558e734efdf99b3a5619b5d5
24,5,6,1,409,0,1,4,558e734efdf99b3a5619b5d5
25,76,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5
27,65,6,1,449,0,1,4,558e734efdf99b3a5619b5d5
28,60,6,1,455,0,1,4,558e734efdf99b3a5619b5d5
29,32,6,1,458,0,1,4,558e734efdf99b3a5619b5d5
30,53,6,1,455,0,1,4,558e734efdf99b3a5619b5d5
32,50,6,0,-419,0,1,4,558e734efdf99b3a5619b5d5
33,50,6,0,-449,0,1,4,558e734efdf99b3a5619b5d5
34,48,6,0,-445,0,1,4,558e734efdf99b3a5619b5d5
35,7,6,0,-436,0,1,4,558e734efdf99b3a5619b5d5
36,67,6,1,469,0,1,4,558e734efdf99b3a5619b5d5
37,62,6,0,-425,0,1,4,558e734efdf99b3a5619b5d5
38,73,6,1,414,0,1,4,558e734efdf99b3a5619b5d5
40,79,6,0,-483,0,1,4,558e734efdf99b3a5619b5d5
41,63,6,0,-427,0,1,4,558e734efdf99b3a5619b5d5
42,72,6,0,-445,0,1,4,558e734efdf99b3a5619b5d5
43,61,6,0,-477,0,1,4,558e734efdf99b3a5619b5d5
44,99,6,0,-475,0,1,4,558e734efdf99b3a5619b5d5
46,43,6,0,-427,0,1,4,558e734efdf99b3a5619b5d5
47,29,6,1,443,0,1,4,558e734efdf99b3a5619b5d5
48,83,6,0,-450,0,1,4,558e734efdf99b3a5619b5d5
1,86,6,1,411,1,1,4,558e734efdf99b3a5619b5d5
